path,scan_root,depth,size_bytes,size_human,category,risk
C:\Program Files (x86)\Microsoft\EdgeUpdate,C:\Program Files (x86),2,231216844,220.51 MB,directory,manual_review
C:\Program Files\Oracle\VirtualBox,C:\Program Files,2,220610040,210.39 MB,directory,manual_review
C:\Program Files\Oracle,C:\Program Files,1,220610040,210.39 MB,directory,manual_review
C:\Program Files (x86)\NVIDIA Corporation,C:\Program Files (x86),1,219890207,209.70 MB,directory,manual_review
C:\Program Files\Git\mingw64,C:\Program Files,2,219734176,209.55 MB,directory,manual_review
C:\Program Files\WSL\tools,C:\Program Files,2,217754472,207.67 MB,directory,manual_review
C:\Program Files (x86)\NVIDIA Corporation\PhysX,C:\Program Files (x86),2,207938052,198.31 MB,directory,manual_review
C:\Program Files\Common Files,C:\Program Files,1,197727999,188.57 MB,directory,manual_review
C:\Program Files\WSL\wslsettings,C:\Program Files,2,195418306,186.37 MB,directory,manual_review
C:\Program Files\Git\usr,C:\Program Files,2,194609855,185.59 MB,directory,manual_review
C:\Program Files\MySQL\MySQL Workbench 8.0,C:\Program Files,2,186749539,178.10 MB,directory,manual_review
C:\Program Files (x86)\dotnet\packs,C:\Program Files (x86),2,173397896,165.37 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SDKs,C:\Program Files (x86),1,168201523,160.41 MB,directory,manual_review
C:\Program Files\Common Files\microsoft shared,C:\Program Files,2,150347477,143.38 MB,directory,manual_review
C:\Program Files (x86)\Common Files,C:\Program Files (x86),1,142481758,135.88 MB,directory,manual_review
C:\Program Files (x86)\Teams Installer,C:\Program Files (x86),1,142222197,135.63 MB,directory,manual_review
C:\Program Files\HP\SystemOptimizer,C:\Program Files,2,142213585,135.63 MB,directory,manual_review
C:\Program Files (x86)\Microsoft Visual Studio\Shared,C:\Program Files (x86),2,127105577,121.22 MB,directory,manual_review
C:\Program Files\CMake,C:\Program Files,1,124335117,118.58 MB,directory,manual_review
C:\Program Files\dotnet\templates,C:\Program Files,2,123464255,117.74 MB,directory,manual_review
C:\Program Files\HP\Overlay,C:\Program Files,2,120328863,114.75 MB,directory,manual_review
C:\Program Files\HPPrintScanDoctor,C:\Program Files,1,118082117,112.61 MB,directory,manual_review
C:\Program Files (x86)\Microsoft Visual Studio\Installer,C:\Program Files (x86),2,104845456,99.99 MB,directory,manual_review
C:\Program Files (x86)\Steam\steamui,C:\Program Files (x86),2,101909632,97.19 MB,directory,manual_review
C:\Program Files\nodejs,C:\Program Files,1,98177037,93.63 MB,directory,manual_review
C:\Program Files (x86)\HP,C:\Program Files (x86),1,96133539,91.68 MB,directory,manual_review
C:\Program Files (x86)\PostgreSQL,C:\Program Files (x86),1,95137040,90.73 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SDKs\NuGetPackages,C:\Program Files (x86),2,94623765,90.24 MB,directory,manual_review
C:\Program Files\McAfee\WebAdvisor,C:\Program Files,2,94381396,90.01 MB,directory,manual_review
C:\Program Files\HP\HP One Agent,C:\Program Files,2,93946607,89.59 MB,directory,manual_review
C:\Program Files\wkhtmltopdf,C:\Program Files,1,90716527,86.51 MB,directory,manual_review
C:\Program Files\wkhtmltopdf\bin,C:\Program Files,2,90519552,86.33 MB,directory,manual_review
