software_name,category,decision,matched_projects,project_count,install_location,estimated_size,last_related_project_activity,confidence_score,explanation
GDR 1150 for SQL Server 2022 (KB5065221),Database,UNSURE,,0,,,,0.60,"GDR 1150 for SQL Server 2022 (KB5065221) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1150 for SQL Server 2022 (KB5065221) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1150 for SQL Server 2022 (KB5065221) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1160 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1160 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1160 for SQL Server 2022 (KB5068407),Database,UNSURE,,0,,,,0.60,"GDR 1160 for SQL Server 2022 (KB5068407) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1160 for SQL Server 2022 (KB5068407) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1160 for SQL Server 2022 (KB5068407) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1165 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1165 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1165 for SQL Server 2022 (KB5073031),Database,UNSURE,,0,,,,0.60,"GDR 1165 for SQL Server 2022 (KB5073031) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1165 for SQL Server 2022 (KB5073031) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1165 for SQL Server 2022 (KB5073031) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1170 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1170 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1170 for SQL Server 2022 (KB5077465),Database,UNSURE,,0,,,,0.60,"GDR 1170 for SQL Server 2022 (KB5077465) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1170 for SQL Server 2022 (KB5077465) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1170 for SQL Server 2022 (KB5077465) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1175 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1175 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1175 for SQL Server 2022 (KB5084815),Database,UNSURE,,0,,,,0.60,"GDR 1175 for SQL Server 2022 (KB5084815) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
